timestamp,trial_job_id,parameter_id,sequence,default_metric,mse,mae,mape
1779473026637,TDwtq,0,0,27.062274932861328,0.0008113101357594132,0.02307209186255932,27.062274932861328
1779473037548,qzp4i,1,0,34.98707580566406,0.0012947022914886475,0.030672097578644753,34.98707580566406
1779473049342,ikEGF,2,0,23.979347229003906,0.0004850382683798671,0.01739986427128315,23.979347229003906
1779473141913,khKWU,3,0,29.225881576538086,0.0009356176597066224,0.02530541643500328,29.225881576538086
1779473153336,bR3Ai,4,0,99.0138168334961,0.007247832603752613,0.08241336792707443,99.0138168334961
1779473162543,xcLUk,5,0,25.015483856201172,0.0006630867719650269,0.020528044551610947,25.015483856201172
1779473170093,CnmPK,6,0,76.36788940429688,0.004704900085926056,0.06514369696378708,76.36788940429688
1779473179354,z1Eyn,7,0,98.77210235595703,0.007217410020530224,0.08222858607769012,98.77210235595703
1779473197925,Oxuoo,8,0,63.781494140625,0.003692801110446453,0.0553453303873539,63.781494140625
1779473245779,Qe0jF,9,0,24.732938766479492,0.0005291992565616965,0.01813109591603279,24.732938766479492
1779473281182,mqcpA,10,0,77.4385757446289,0.005318757146596909,0.06515447795391083,77.4385757446289
1779473291053,fkjns,11,0,38.76449966430664,0.0015460591530427337,0.034227803349494934,38.76449966430664
1779473298570,kj1Md,12,0,259.052490234375,0.042388916015625,0.2047717273235321,259.052490234375
1779473328912,tn8KB,13,0,66.09820556640625,0.003736857557669282,0.0572596974670887,66.09820556640625
1779473402083,iLFOS,14,0,69.75604248046875,0.0039517502300441265,0.05065177008509636,69.75604248046875
1779473412675,vJJEc,15,0,1640.6556396484375,1.5567305088043213,1.2475073337554932,1640.6556396484375
1779473420123,wwM0n,16,0,91.82695007324219,0.006395056378096342,0.07692942768335342,91.82695007324219
1779473437831,szMvE,17,0,42.9748649597168,0.0018243822269141674,0.03801184892654419,42.9748649597168
1779473457480,gebeM,18,0,45.67853927612305,0.0020137305837124586,0.040328770875930786,45.67853927612305
1779473511763,Oe1PU,19,0,50.946659088134766,0.0020067794248461723,0.036162253469228745,50.946659088134766
1779473548418,uE27l,20,0,31.0166072845459,0.0010435079457238317,0.02707585319876671,31.0166072845459
1779473561651,o1pUu,21,0,82.72199249267578,0.0036415215581655502,0.05648043751716614,82.72199249267578
1779473568348,dyzZy,22,0,47.298439025878906,0.0021685496903955936,0.04188001528382301,47.298439025878906
