timestamp,trial_job_id,parameter_id,sequence,default_metric,mse,mae,mape
1779471822722,YMKgt,0,0,221.49057006835938,0.027049072086811066,0.16267620027065277,221.49057006835938
1779471831513,MuPHb,1,0,93.88050842285156,0.004714133217930794,0.06512603163719177,93.88050842285156
1779471839195,DpEut,2,0,351.0682067871094,0.06895937770605087,0.26090648770332336,351.0682067871094
1779471849696,opiUR,3,0,122.86011505126953,0.010569773614406586,0.10042824596166611,122.86011505126953
1779471861971,gAV51,4,0,252.50697326660156,0.04053729027509689,0.1996353715658188,252.50697326660156
1779471869837,yGisl,5,0,57.34220886230469,0.002957060234621167,0.05019007995724678,57.34220886230469
1779471937970,dUM9E,6,0,299.07965087890625,0.04975523427128792,0.2219894826412201,299.07965087890625
1779471945907,v7C0u,7,0,514.9246215820312,0.1607356071472168,0.40035101771354675,514.9246215820312
1779471954970,ZMowH,8,0,81.64872741699219,0.005235978402197361,0.06913833320140839,81.64872741699219
1779471970160,K0LS4,9,0,244.7003936767578,0.033026620745658875,0.18029092252254486,244.7003936767578
1779471978568,Ss15k,10,0,105.04430389404297,0.008052031509578228,0.08708576112985611,105.04430389404297
1779472013634,nEQlw,11,0,64.78052520751953,0.0036144002806395292,0.05621495097875595,64.78052520751953
1779472046671,xTZJ2,12,0,527.2811889648438,0.15752826631069183,0.39629843831062317,527.2811889648438
1779472055185,dOwlT,13,0,483.0050354003906,0.14477777481079102,0.37758511304855347,483.0050354003906
1779472066755,d9RdM,14,0,347.3177490234375,0.06748870760202408,0.25889626145362854,347.3177490234375
1779472077479,ISgQH,15,0,99.02960968017578,0.007256576791405678,0.08244762569665909,99.02960968017578
1779472084838,T2zjL,16,0,62.45173263549805,0.0034563858062028885,0.05447252094745636,62.45173263549805
1779472114975,DVXOs,17,0,26.753398895263672,0.000793025188613683,0.02273968607187271,26.753398895263672
1779472160889,MzMeD,18,0,99.49518585205078,0.007308625150471926,0.0827813595533371,99.49518585205078
1779472169453,kg1aQ,19,0,33.462589263916016,0.0009758446831256151,0.023616742342710495,33.462589263916016
1779472188187,Mmdpn,20,0,45.47288513183594,0.002010650234296918,0.04020737484097481,45.47288513183594
1779472202077,i5CQH,21,0,44.28118133544922,0.001920813345350325,0.0391353964805603,44.28118133544922
1779472220902,cJslq,22,0,107.7910385131836,0.006563972681760788,0.07484065741300583,107.7910385131836
1779472283556,SSxDa,23,0,52.448890686035156,0.002556735649704933,0.04616723209619522,52.448890686035156
