timestamp,trial_job_id,parameter_id,sequence,default_metric,mse,mae,mape
1779204796744,OsW98,0,0,0.00031765931635163724,0.00031765931635163724,0.014567210339009762,33.39767074584961
1779204805333,fEypp,1,0,0.000252451776759699,0.000252451776759699,0.012519707903265953,26.83724594116211
1779204811361,gwih6,2,0,0.00037545087980106473,0.00037545087980106473,0.016117028892040253,36.60894012451172
1779204830756,YKsdz,3,0,0.00033235695445910096,0.00033235695445910096,0.014955553226172924,34.34439468383789
1779204851402,eAjtg,4,0,0.0002983850718010217,0.0002983850718010217,0.013768637552857399,24.200777053833008
1779204865856,uzFS9,5,0,0.012540685012936592,0.012540685012936592,0.11105526238679886,225.65541076660156
1779204882260,jfj5v,6,0,0.00028141477378085256,0.00028141477378085256,0.013136458583176136,28.190359115600586
1779204896433,AgRou,7,0,0.003385268384590745,0.003385268384590745,0.05637245252728462,118.42665100097656
1779204911858,TTBMG,8,0,0.0018714347388595343,0.0018714347388595343,0.040798529982566833,72.13268280029297
1779204923957,x5faD,9,0,0.00033131203963421285,0.00033131203963421285,0.014400363899767399,32.7378044128418
1779204940817,C6jYs,10,0,0.00021120993187651038,0.00021120993187651038,0.01123959943652153,23.634361267089844
1779205042006,w5RDv,11,0,0.0018254440510645509,0.0018254440510645509,0.040244974195957184,86.8083724975586
1779205060753,bC44M,12,0,0.0003096481959801167,0.0003096481959801167,0.014311718754470348,32.53461837768555
1779205068598,tdavb,13,0,0.0002289031253894791,0.0002289031253894791,0.011949069797992706,26.452526092529297
1779205082795,dLXve,14,0,0.001266437815502286,0.001266437815502286,0.032547254115343094,55.95124816894531
1779205093649,q0YJh,15,0,0.00037527657696045935,0.00037527657696045935,0.015722502022981644,34.60367965698242
1779205107394,Ehcb1,16,0,0.004867709707468748,0.004867709707468748,0.06826634705066681,141.74969482421875
1779205126692,xJd2q,17,0,0.00029655362595804036,0.00029655362595804036,0.014005615375936031,32.006595611572266
1779205141020,lx1hr,18,0,0.005202589090913534,0.005202589090913534,0.070633165538311,146.4876708984375
1779205146871,Lc5Xd,19,0,0.00047112166066654027,0.00047112166066654027,0.017780689522624016,29.945459365844727
1779205152947,UqA0f,20,0,0.002187557751312852,0.002187557751312852,0.04449905827641487,79.37448120117188
1779205160921,KzJkC,21,0,0.003399227513000369,0.003399227513000369,0.05649612471461296,118.6691665649414
1779205167128,wvaBW,22,0,0.0003897093120031059,0.0003897093120031059,0.01653319224715233,37.910831451416016
1779205199994,xgyBZ,23,0,0.00025954667944461107,0.00025954667944461107,0.012670171447098255,28.39490509033203
1779205218824,T5ppC,24,0,0.0002582843299023807,0.0002582843299023807,0.012849122285842896,29.04583740234375
1779205232759,QEqpD,25,0,0.01097912061959505,0.01097912061959505,0.10378681868314743,211.40260314941406
1779205239775,rIrKo,26,0,0.0043873898684978485,0.0043873898684978485,0.0646527037024498,134.66371154785156
1779205258404,JygMp,27,0,0.00029839423950761557,0.00029839423950761557,0.01385563611984253,31.673036575317383
