timestamp,trial_job_id,parameter_id,sequence,default_metric,mse,mae,mape
1778583387117,pWwTD,0,0,0.00034178211353719234,0.00034178211353719234,0.014509252272546291,33.0248908996582
1778583440238,zLYJK,1,0,0.000563772686291486,0.000563772686291486,0.01802091673016548,41.03431701660156
1778583445647,w9B8D,2,0,0.0008233825210481882,0.0008233825210481882,0.02352721430361271,52.78456115722656
1778583453615,kQIrG,3,0,0.00033117670682258904,0.00033117670682258904,0.014091960154473782,30.276643753051758
1778583462277,FpOQu,4,0,0.00025246606674045324,0.00025246606674045324,0.012781024910509586,28.2587890625
1778583472024,h89DP,5,0,0.00021159538300707936,0.00021159538300707936,0.011333180591464043,24.303180694580078
1778583482174,JvIZJ,6,0,0.0004996694042347372,0.0004996694042347372,0.01784156635403633,37.181983947753906
1778583497986,MWY5L,7,0,0.00036677252501249313,0.00036677252501249313,0.015808388590812683,36.250492095947266
1778583529654,eYbvc,8,0,0.0006611082935705781,0.0006611082935705781,0.020238034427165985,45.53550720214844
1778583562275,vMRI6,9,0,0.000348851055605337,0.000348851055605337,0.014789538457989693,33.922325134277344
1778583572067,nsybS,10,0,0.00046912074321880937,0.00046912074321880937,0.018529575318098068,42.320411682128906
1778583577503,KEdY3,11,0,0.02796001173555851,0.02796001173555851,0.16659149527549744,318.79107666015625
1778583583732,ASliS,12,0,0.0004123226972296834,0.0004123226972296834,0.016299597918987274,37.240394592285156
1778583594600,knnvr,13,0,0.0013413301203399897,0.0013413301203399897,0.03387195244431496,74.1229019165039
1778583608467,mnRq7,14,0,0.002542489441111684,0.002542489441111684,0.04832260683178902,86.8723373413086
1778583622968,bpw6g,15,0,0.0006525479257106781,0.0006525479257106781,0.022543592378497124,50.877140045166016
1778583634001,l34I6,16,0,0.00030555520788766444,0.00030555520788766444,0.0132597042247653,28.442964553833008
1778583640119,HoAWi,17,0,0.0003580613702069968,0.0003580613702069968,0.015549961477518082,35.7708854675293
