timestamp,trial_job_id,parameter_id,sequence,default_metric,mse,mae,mape
1778589430099,QOCZF,0,0,0.0002965796447824687,0.0002965796447824687,0.013793916441500187,31.247446060180664
1778589437431,DGAvl,1,0,0.00028886229847557843,0.00028886229847557843,0.013291212730109692,27.729948043823242
1778589447907,HxmB6,2,0,0.0002878452360164374,0.0002878452360164374,0.013692962937057018,31.27672576904297
1778589515913,QhMwX,3,0,0.00030317812343128026,0.00030317812343128026,0.013801611959934235,29.616125106811523
1778589537206,Y2ELU,4,0,0.000764098484069109,0.000764098484069109,0.024042164906859398,54.182586669921875
1778589545165,o9aAD,5,0,0.00022853646078146994,0.00022853646078146994,0.011470910161733627,23.460094451904297
1778589567214,O5QLB,6,0,0.0006661327206529677,0.0006661327206529677,0.022668423131108284,51.206504821777344
1778589574321,BmADz,7,0,0.0002844118280336261,0.0002844118280336261,0.013492251746356487,24.403242111206055
1778589590724,DxeWz,8,0,0.0002478147216606885,0.0002478147216606885,0.012007380835711956,26.160810470581055
1778589599523,JkBWL,9,0,0.00026604338199831545,0.00026604338199831545,0.012573647312819958,27.512229919433594
1778589610605,yUSo2,10,0,0.00023237270943354815,0.00023237270943354815,0.011793737299740314,25.759763717651367
1778589618056,JcHBc,11,0,0.00029786667437292635,0.00029786667437292635,0.013539651408791542,28.96377944946289
1778589624571,l159w,12,0,0.00028808123897761106,0.00028808123897761106,0.01356459129601717,30.919008255004883
1778589644826,bfX3l,13,0,0.0002450111205689609,0.0002450111205689609,0.012456073425710201,27.96501922607422
1778589654076,OwTU2,14,0,0.00024171681434381753,0.00024171681434381753,0.01239651907235384,27.734996795654297
1778589661894,x1OLD,15,0,0.00022846393403597176,0.00022846393403597176,0.011733503080904484,25.569032669067383
1778589669625,HfPhh,16,0,0.0002408742584520951,0.0002408742584520951,0.012170943431556225,26.967731475830078
1778589674996,x9cH6,17,0,0.00029106627334840596,0.00029106627334840596,0.013660026714205742,31.146482467651367
1778589690719,yJmNx,18,0,0.00022770762734580785,0.00022770762734580785,0.011458649300038815,24.042272567749023
1778589707218,ZQ5vE,19,0,0.0003558225289452821,0.0003558225289452821,0.015473317354917526,35.48150634765625
1778589716476,v8MSg,20,0,0.00022552901646122336,0.00022552901646122336,0.011394333094358444,23.83572006225586
