Experiment,TimeTrack_Size,Dataset2_3_Size,Dataset,Model,Samples,Train Time (s),Memory Used (MB),Max CPU (%),Avg CPU (%),MAE,MSE,MAPE
Size_1260_189,1260,189,Dataset3,TCN,189,1.0085,16.85,16.57,10.0,0.08164382731109453,0.010124735132642018,12.742244314234249
Size_1260_189,1260,189,Dataset3,Transformer,189,1.7321,21.02,17.43,11.84,0.4307342205184739,0.19110112909484928,70.88730031537011
Size_1260_189,1260,189,Dataset3,MLP,189,1.0769,9.59,12.4,9.37,0.06734551479447383,0.0060722162320794755,11.056332055157645
Size_1890_284,1890,284,TimeTrack,LSTM,1890,4.3933,40.56,23.25,15.46,0.015740177134502525,0.0007875262251306022,6.734929429327533
Size_1890_284,1890,284,TimeTrack,GRU,1890,3.4639,41.02,23.88,15.43,0.015252712426819462,0.00079314978976054,6.434158668877221
Size_1890_284,1890,284,TimeTrack,RNN,1890,3.6437,16.68,24.87,16.88,0.013821342804405052,0.0006647778848998566,5.891406260999767
Size_1890_284,1890,284,TimeTrack,CNN,1890,1.5146,8.75,14.95,11.53,0.015528893957976578,0.0007010203871375436,6.903167300623449
Size_1890_284,1890,284,TimeTrack,TCN,1890,2.5832,69.65,23.26,14.67,0.016238249920178915,0.0008258094405630902,6.952979669259602
Size_1890_284,1890,284,TimeTrack,Transformer,1890,2.7257,8.1,23.25,16.1,0.018708283260866255,0.001162159343665862,7.814173036756289
Size_1890_284,1890,284,TimeTrack,MLP,1890,1.3905,7.19,15.76,10.93,0.014478319013858196,0.0006803717468503625,6.250971108483775
Size_1890_284,1890,284,Dataset2,LSTM,284,1.3641,31.0,15.75,9.26,0.027215927265688656,0.0009482268683402186,32.05282912296638
Size_1890_284,1890,284,Dataset2,GRU,284,1.7923,41.68,17.43,8.99,0.0275817376854892,0.00097590604716977,32.78464275294049
Size_1890_284,1890,284,Dataset2,RNN,284,1.8132,8.45,16.6,11.85,0.01861107047405105,0.0006032155326448531,18.401429938258193
Size_1890_284,1890,284,Dataset2,CNN,284,0.5773,8.75,12.46,7.71,0.023203445195632617,0.0008137490132578077,25.755632121831596
Size_1890_284,1890,284,Dataset2,TCN,284,0.7492,18.85,16.61,8.81,0.03518989358185188,0.0015165725683134765,42.998929483075585
Size_1890_284,1890,284,Dataset2,Transformer,284,2.1927,25.97,16.62,12.14,0.02219630246759995,0.0008331626618779882,21.9938587403737
