Experiment,TimeTrack_Size,Dataset2_3_Size,Dataset,Model,Samples,Train Time (s),Memory Used (MB),Max CPU (%),Avg CPU (%),MAE,MSE,MAPE
Size_6300_945,6300,945,TimeTrack,MLP,6300,2.0976,9.75,18.18,11.78,0.010670597887152522,0.000617627594052355,5.062104070853657
Size_6300_945,6300,945,Dataset2,LSTM,945,1.6617,37.55,19.93,11.23,0.021305753878203017,0.0006367066652819266,27.460669499282957
Size_6300_945,6300,945,Dataset2,GRU,945,2.9373,35.86,26.58,14.07,0.018849252612335225,0.0006903160980835126,22.363288414635253
Size_6300_945,6300,945,Dataset2,RNN,945,1.0575,16.06,21.58,12.76,0.01737642990944263,0.0004722416027253837,23.06611085651339
Size_6300_945,6300,945,Dataset2,CNN,945,1.3119,8.36,14.86,11.41,0.01573677879637372,0.00043911710673241137,20.25035585986527
Size_6300_945,6300,945,Dataset2,TCN,945,1.0923,20.12,21.59,12.8,0.023976534629219875,0.0006904653276854891,32.38142970944763
Size_6300_945,6300,945,Dataset2,Transformer,945,1.3687,24.45,22.36,12.82,0.021455695697121153,0.0006306067851951264,27.769507455128657
Size_6300_945,6300,945,Dataset2,MLP,945,0.9978,1.98,14.93,10.25,0.015633175533522913,0.0004865854385489327,19.644507454541067
Size_6300_945,6300,945,Dataset3,LSTM,945,4.8539,43.22,21.58,15.07,0.06723280798164857,0.009035700809083313,15.672235983825065
Size_6300_945,6300,945,Dataset3,GRU,945,4.6858,39.86,21.56,15.43,0.06558546738942529,0.008551485632850313,15.657376575474238
Size_6300_945,6300,945,Dataset3,RNN,945,1.6827,12.32,19.93,14.31,0.07122942050862839,0.009630260597739521,16.92967455421794
Size_6300_945,6300,945,Dataset3,CNN,945,2.1616,6.81,15.78,11.9,0.0680796651628024,0.00930306839498178,14.485198272679495
Size_6300_945,6300,945,Dataset3,TCN,945,2.0775,19.45,21.59,16.12,0.06449966627497153,0.007937362426608202,16.118080155149254
Size_6300_945,6300,945,Dataset3,Transformer,945,3.3,20.34,23.25,16.85,0.16129813004299137,0.03705238049857204,37.68507401183899
Size_6300_945,6300,945,Dataset3,MLP,945,1.6579,1.09,14.96,10.77,0.06110364368665023,0.007488836029541622,14.193149020773877
Size_12600_1890,12600,1890,TimeTrack,LSTM,12600,35.191,52.57,25.62,17.79,0.007736152860558515,0.00024216648307640764,3.7512397316383885
Size_12600_1890,12600,1890,TimeTrack,GRU,12600,21.4874,7.38,25.39,18.46,0.008072555980347902,0.00024914724037956523,3.9437498957194848
Size_12600_1890,12600,1890,TimeTrack,RNN,12600,5.1065,0.82,24.09,19.08,0.008168577838212803,0.00025688405864447917,3.9576562759415927
Size_12600_1890,12600,1890,TimeTrack,CNN,12600,4.7109,0.7,17.44,13.94,0.007787086351425898,0.00023864955200796208,3.7872160136909185
Size_12600_1890,12600,1890,TimeTrack,TCN,12600,6.3488,8.96,25.75,20.95,0.00785488276660745,0.0002462300340796685,3.7871140642005168
Size_12600_1890,12600,1890,TimeTrack,Transformer,12600,9.2053,0.35,26.5,20.81,0.011451780120124823,0.0003383502162364913,5.658930549879079
Size_12600_1890,12600,1890,TimeTrack,MLP,12600,2.1844,9.0,19.1,12.17,0.007879526763984148,0.00024003900649017146,3.841291415741703
Size_12600_1890,12600,1890,Dataset2,LSTM,1890,2.2727,22.12,24.05,13.66,0.019335612493325483,0.000611193104954634,24.86909817557363
Size_12600_1890,12600,1890,Dataset2,GRU,1890,3.4073,28.51,24.08,14.73,0.018785381781468376,0.0006412946716035879,23.32531102217945
Size_12600_1890,12600,1890,Dataset2,RNN,1890,1.4617,14.59,22.43,14.87,0.0157007172979537,0.000462470245960635,21.08844510984231
Size_12600_1890,12600,1890,Dataset2,CNN,1890,2.4232,8.47,14.94,12.56,0.011977710047732501,0.0003517453035716388,15.357927147121641
Size_12600_1890,12600,1890,Dataset2,TCN,1890,4.5433,23.47,24.9,19.64,0.011674636213292124,0.0003305323976114476,15.49109707593432
Size_12600_1890,12600,1890,Dataset2,Transformer,1890,1.5824,24.59,26.57,14.57,0.021144404774901645,0.0006373874242224324,28.4214807828485
Size_12600_1890,12600,1890,Dataset2,MLP,1890,2.7202,3.11,14.12,11.47,0.010662241008680571,0.00031698117783935493,13.837626619636033
Size_12600_1890,12600,1890,Dataset3,LSTM,1890,7.9998,36.87,24.05,16.43,0.06229111935489198,0.006958453766493584,20.21415814593607
Size_12600_1890,12600,1890,Dataset3,GRU,1890,5.0185,36.05,24.88,16.09,0.06128184693859461,0.006971576596090707,19.245856616330816
Size_12600_1890,12600,1890,Dataset3,RNN,1890,2.0811,12.25,22.39,16.34,0.059864935562118506,0.006844128854155306,18.250337639752416
Size_12600_1890,12600,1890,Dataset3,CNN,1890,2.6919,8.17,14.94,12.73,0.05871054421314991,0.006436493018320176,19.02524402270528
Size_12600_1890,12600,1890,Dataset3,TCN,1890,2.3258,18.71,24.92,17.77,0.05924682967322998,0.006728808054247976,18.42522106754794
Size_12600_1890,12600,1890,Dataset3,Transformer,1890,2.3073,19.41,26.47,16.9,0.11546001643778087,0.019106632742035435,41.54525582861348
Size_12600_1890,12600,1890,Dataset3,MLP,1890,1.9283,10.86,14.93,11.39,0.05447273255076606,0.006013336923804709,16.22031053027108
Size_18900_2835,18900,2835,TimeTrack,LSTM,18900,21.2874,38.68,24.87,17.73,0.006743927586938951,0.00014384353949673914,3.35872189741244
Size_18900_2835,18900,2835,TimeTrack,GRU,18900,12.2893,38.48,26.17,17.9,0.00647788535767782,0.00013815693032047057,3.2379993750487412
Size_18900_2835,18900,2835,TimeTrack,RNN,18900,7.1748,20.31,24.1,19.77,0.00669463818630123,0.0001458008877055522,3.3632991080333943
Size_18900_2835,18900,2835,TimeTrack,CNN,18900,4.2101,8.62,17.21,14.06,0.006330376722763499,0.00013557108596348868,3.1840843860246375
Size_18900_2835,18900,2835,TimeTrack,TCN,18900,10.2314,18.1,25.73,21.69,0.006562105731319991,0.0001472985163554281,3.240734463928574
Size_18900_2835,18900,2835,TimeTrack,Transformer,18900,8.7516,31.12,25.75,21.22,0.010115158159136637,0.00023000701747373164,5.149372667898128
Size_18900_2835,18900,2835,TimeTrack,MLP,18900,2.8355,3.35,18.18,12.17,0.006527095720152543,0.00014059911982725517,3.2647201773850423
Size_18900_2835,18900,2835,Dataset2,LSTM,2835,2.6266,33.3,397.47,28.84,0.024472799298645896,0.001672895483504315,27.037362240941786
Size_18900_2835,18900,2835,Dataset2,GRU,2835,5.5414,29.59,23.24,16.92,0.022632730728041055,0.001443204565298572,25.99458796104619
Size_18900_2835,18900,2835,Dataset2,RNN,2835,1.9279,16.89,21.6,14.92,0.0158526061533912,0.0009940627574945196,16.57264101197428
Size_18900_2835,18900,2835,Dataset2,CNN,2835,3.5142,7.97,15.78,13.13,0.013946956192023427,0.0008960186341412788,14.560437169745347
Size_18900_2835,18900,2835,Dataset2,TCN,2835,3.5352,17.87,24.92,19.76,0.013937071767310903,0.0009750602337683871,14.684602697697077
Size_18900_2835,18900,2835,Dataset2,Transformer,2835,1.8828,19.1,28.22,16.81,0.026440913636768378,0.0020888675532326375,29.266911830037873
Size_18900_2835,18900,2835,Dataset2,MLP,2835,1.3102,8.12,14.12,11.26,0.014767334403305047,0.00101359113112036,15.803685376361015
Size_18900_2835,18900,2835,Dataset3,LSTM,2835,9.0989,36.43,27.32,17.31,0.06555115592127804,0.007707453132806535,20.022330104366198
Size_18900_2835,18900,2835,Dataset3,GRU,2835,6.3904,158.07,22.4,15.56,0.06494080570367078,0.007823360637017747,19.18695763990901
Size_18900_2835,18900,2835,Dataset3,RNN,2835,3.0773,44.59,20.75,15.72,0.06315414293006644,0.0073964383752163545,18.485619787333793
Size_18900_2835,18900,2835,Dataset3,CNN,2835,2.7961,0.17,14.95,12.67,0.061205524955650174,0.006640876981042031,18.66353610931345
Size_18900_2835,18900,2835,Dataset3,TCN,2835,3.0158,7.95,26.58,19.02,0.06308926962257992,0.006903591620342422,19.66297231102769
Size_18900_2835,18900,2835,Dataset3,Transformer,2835,2.5338,2.09,202.63,25.56,0.12209917599819517,0.021358497886733437,41.52741996071191
Size_18900_2835,18900,2835,Dataset3,MLP,2835,1.6901,9.48,16.61,11.45,0.05823667168829862,0.0064003565191803335,16.802763253334575
Size_25200_3780,25200,3780,TimeTrack,LSTM,25200,18.0077,12.56,23.2,17.7,0.011529495598094375,0.0006065423780852405,5.162892558905232
Size_25200_3780,25200,3780,TimeTrack,GRU,25200,20.1306,25.98,25.72,18.21,0.01158003082124264,0.0006015455153810608,5.219009922653982
Size_25200_3780,25200,3780,TimeTrack,RNN,25200,14.2685,4.16,24.92,20.48,0.012177697837200158,0.0006189665152327291,5.556290657765126
Size_25200_3780,25200,3780,TimeTrack,CNN,25200,5.2718,11.87,16.58,13.89,0.012011231406093741,0.0006228312688275495,5.438879306510961
Size_25200_3780,25200,3780,TimeTrack,TCN,25200,13.4657,14.14,26.59,21.93,0.011310456000711733,0.0006284717404303325,5.02256924782087
Size_25200_3780,25200,3780,TimeTrack,Transformer,25200,8.1077,13.33,27.37,21.01,0.015100172583925438,0.0009000317282457556,6.577530145934794
Size_25200_3780,25200,3780,TimeTrack,MLP,25200,7.6209,11.87,17.38,12.78,0.011529431683350735,0.0006097356544031657,5.184462049877278
Size_25200_3780,25200,3780,Dataset2,LSTM,3780,12.8966,30.6,23.22,17.22,0.019130386243725213,0.0011354250011193557,23.520000911749772
Size_25200_3780,25200,3780,Dataset2,GRU,3780,4.931,34.0,24.9,16.69,0.022106014131559274,0.0012080321690577356,27.70605181750695
Size_25200_3780,25200,3780,Dataset2,RNN,3780,2.2522,16.76,24.91,17.08,0.018067425458066288,0.0012097160823448614,24.139970947789536
Size_25200_3780,25200,3780,Dataset2,CNN,3780,4.4712,6.97,15.77,13.37,0.013831257317809134,0.0009649851265154423,16.866194054310927
Size_25200_3780,25200,3780,Dataset2,TCN,3780,6.1253,18.46,25.77,20.57,0.013996749596225143,0.0009980892488429451,17.677362190887873
Size_25200_3780,25200,3780,Dataset2,Transformer,3780,1.9781,21.62,25.75,16.52,0.02327650320186557,0.0012112894255857365,30.39434829804049
Size_25200_3780,25200,3780,Dataset2,MLP,3780,2.3449,2.57,16.62,11.75,0.012876604631003697,0.0009083717754406688,15.098337195918216
Size_25200_3780,25200,3780,Dataset3,LSTM,3780,11.0468,42.94,246.69,19.27,0.05718352739312181,0.0067219537597816995,13.424053464206734
Size_25200_3780,25200,3780,Dataset3,GRU,3780,9.1464,39.53,24.82,17.32,0.05752691583535586,0.006777095470642038,13.466190020971558
Size_25200_3780,25200,3780,Dataset3,RNN,3780,5.6548,7.81,24.0,18.97,0.05630027532505448,0.006320221033951019,13.394515058519737
Size_25200_3780,25200,3780,Dataset3,CNN,3780,4.0727,7.97,17.43,13.4,0.05589159049349341,0.0062017500480044795,13.330763288383215
Size_25200_3780,25200,3780,Dataset3,TCN,3780,6.1786,18.95,25.75,20.47,0.055985679470971196,0.006022838641479156,14.166762766067146
Size_25200_3780,25200,3780,Dataset3,Transformer,3780,4.3175,18.97,27.39,19.69,0.14070208324537767,0.03097634599084199,35.49151717550167
Size_25200_3780,25200,3780,Dataset3,MLP,3780,3.8221,9.84,387.16,22.0,0.05722092065481683,0.006019831478910657,14.923486362988916
Size_31500_4725,31500,4725,TimeTrack,LSTM,31500,38.4931,43.22,22.41,17.88,0.01093687675596664,0.0014622437586104865,305508.40310839727
Size_31500_4725,31500,4725,TimeTrack,GRU,31500,24.6194,35.04,24.1,18.4,0.011913876803580543,0.0015618526145609098,304496.2733159776
Size_31500_4725,31500,4725,TimeTrack,RNN,31500,11.1163,18.51,24.07,20.21,0.011762338166773455,0.001512921148058893,302249.597704692
Size_31500_4725,31500,4725,TimeTrack,CNN,31500,13.8658,10.86,16.62,14.23,0.010758279701400093,0.0015377223824335098,301988.25634015375
Size_31500_4725,31500,4725,TimeTrack,TCN,31500,26.0052,22.79,26.6,22.16,0.011880511154687984,0.0015594526911302082,305065.98726591474
Size_31500_4725,31500,4725,TimeTrack,Transformer,31500,11.8555,20.9,27.39,21.81,0.03262947629562217,0.012332573131180666,311985.7832103967
Size_31500_4725,31500,4725,TimeTrack,MLP,31500,7.638,1.86,18.27,12.73,0.011430349331848175,0.0015103512453665741,297702.9830125069
Size_31500_4725,31500,4725,Dataset2,LSTM,4725,3.7146,39.14,28.17,15.57,0.0688661794315892,0.015659497577816612,440225.4512648433
Size_31500_4725,31500,4725,Dataset2,GRU,4725,4.0121,39.96,23.24,15.74,0.07733778132571385,0.018557227401341587,582482.3251087483
Size_31500_4725,31500,4725,Dataset2,RNN,4725,3.2312,12.61,25.41,18.4,0.06304484098616339,0.012981559798253712,16207.1939136184
Size_31500_4725,31500,4725,Dataset2,CNN,4725,2.048,7.01,15.78,12.76,0.0716665889346697,0.017284583879147386,308945.27562303434
Size_31500_4725,31500,4725,Dataset2,TCN,4725,4.7436,19.68,24.83,19.06,0.0769892168017865,0.016255001799175463,631950.4794125556
Size_31500_4725,31500,4725,Dataset2,Transformer,4725,3.9234,19.53,25.73,17.6,0.10961036916707281,0.03384368924274916,835158.5182909956
Size_31500_4725,31500,4725,Dataset2,MLP,4725,1.4654,10.0,16.58,11.31,0.060340665649976796,0.012411711519800545,304430.38946400495
Size_31500_4725,31500,4725,Dataset3,LSTM,4725,11.7217,39.82,24.04,17.02,0.06282544053733073,0.007181484273793454,1789884.823932438
Size_31500_4725,31500,4725,Dataset3,GRU,4725,8.2302,259.2,25.57,15.61,0.06256591032974754,0.007232437962299396,1319496.6255403494
Size_31500_4725,31500,4725,Dataset3,RNN,4725,5.8072,5.07,21.6,17.81,0.06191857783814191,0.00687968038275946,1345000.7737133352
Size_31500_4725,31500,4725,Dataset3,CNN,4725,6.1511,5.87,17.44,13.61,0.06532656250039241,0.0070498933083116356,3586752.766695172
Size_31500_4725,31500,4725,Dataset3,TCN,4725,4.0054,4.88,24.11,18.25,0.06515524946678214,0.007207064217441046,5027631.709062939
Size_31500_4725,31500,4725,Dataset3,Transformer,4725,7.3777,10.83,24.93,19.39,0.13304836323249924,0.02553308357960019,8147006.372882985
Size_31500_4725,31500,4725,Dataset3,MLP,4725,3.7026,11.96,353.03,21.88,0.05554488440515044,0.005113309514300194,1976232.9036423995
Size_37800_5670,37800,5670,TimeTrack,LSTM,37800,34.6399,15.05,24.08,18.29,0.012744393682490475,0.0017514494977501275,5.088188981386092
Size_37800_5670,37800,5670,TimeTrack,GRU,37800,83.4848,26.82,26.55,18.83,0.012357971754022479,0.0016525798092605366,4.901984909249923
Size_37800_5670,37800,5670,TimeTrack,RNN,37800,11.8664,7.54,24.08,20.05,0.015761750083416886,0.0019749349993993964,5.867290361181779
Size_37800_5670,37800,5670,TimeTrack,CNN,37800,21.8645,3.88,17.44,14.34,0.012172676472621186,0.0016407438510226858,4.7697318694638495
Size_37800_5670,37800,5670,TimeTrack,TCN,37800,16.3611,15.29,25.75,21.34,0.013290396261072594,0.0019226488267254105,5.406767438357085
Size_37800_5670,37800,5670,TimeTrack,Transformer,37800,16.8298,12.87,25.75,20.99,0.02907507226612534,0.011003336246359643,7.4323935204230835
Size_37800_5670,37800,5670,TimeTrack,MLP,37800,8.9981,8.85,15.77,13.03,0.014091047818886022,0.0018822799568398755,5.100951239482908
Size_37800_5670,37800,5670,Dataset2,LSTM,5670,9.9458,28.8,23.78,17.17,0.05132542964353653,0.0036783428252734488,20.780841955964423
Size_37800_5670,37800,5670,Dataset2,GRU,5670,10.0101,41.25,24.07,17.67,0.05983610024834,0.004914275934738215,23.729746698645457
Size_37800_5670,37800,5670,Dataset2,RNN,5670,3.575,7.67,445.68,30.96,0.06389066907472479,0.005539443386783878,25.657190449095314
Size_37800_5670,37800,5670,Dataset2,CNN,5670,4.7024,10.85,343.98,21.13,0.031837276800503224,0.0016762431511109155,14.487644117873282
Size_37800_5670,37800,5670,Dataset2,TCN,5670,7.6486,17.96,25.76,20.49,0.03460572199823343,0.0018292441573303803,15.984309655010867
Size_37800_5670,37800,5670,Dataset2,Transformer,5670,4.7635,18.5,25.74,19.86,0.15001597384063833,0.03068242906152384,55.10325705800477
Size_37800_5670,37800,5670,Dataset2,MLP,5670,2.8261,8.48,15.79,12.23,0.01452081928956996,0.0008478027461099682,8.15510007626248
Size_37800_5670,37800,5670,Dataset3,LSTM,5670,9.3522,37.8,23.25,16.95,0.060765021816879074,0.00737683878178077,21.6074463843036
Size_37800_5670,37800,5670,Dataset3,GRU,5670,8.2372,34.02,23.88,17.37,0.05930653475982604,0.007429335305486906,19.743717401386373
Size_37800_5670,37800,5670,Dataset3,RNN,5670,6.7016,16.71,23.26,19.44,0.05924660222889208,0.006983296536739426,20.025501615667313
Size_37800_5670,37800,5670,Dataset3,CNN,5670,2.6689,6.87,18.27,13.17,0.0628248279445677,0.007018517608367079,24.540707976178034
Size_37800_5670,37800,5670,Dataset3,TCN,5670,5.9489,20.54,24.94,20.63,0.05678379353441474,0.0060423408507549025,20.767975122174697
Size_37800_5670,37800,5670,Dataset3,Transformer,5670,3.4789,18.42,25.74,18.21,0.12240428479098436,0.022766395359109227,48.45153604618802
Size_37800_5670,37800,5670,Dataset3,MLP,5670,4.502,1.14,17.43,12.31,0.05139673654156128,0.004720140195632551,17.179232674446705
