Experiment,TimeTrack_Size,Dataset2_3_Size,Dataset,Model,Samples,Train Time (s),Memory Used (MB),Max CPU (%),Avg CPU (%),MAE,MSE,MAPE
Size_1200_180,1200,180,Dataset2,CNN,180,0.5225,5.97,56.38,12.11,0.024452,0.000879,27.7282
Size_1200_180,1200,180,Dataset2,GRU,180,1.3432,31.79,29.75,10.25,0.027672,0.001005,32.097
Size_1200_180,1200,180,Dataset2,LSTM,180,1.6112,32.36,15.79,9.04,0.028439,0.001032,33.4427
Size_1200_180,1200,180,Dataset2,RNN,180,0.8567,11.35,51.64,13.79,0.028993,0.00155,32.6818
Size_1200_180,1200,180,Dataset2,Transformer,180,1.5596,23.65,17.1,11.58,0.020797,0.000982,18.7816
Size_1200_180,1200,180,Dataset3,CNN,180,0.6188,6.9,26.22,10.32,0.148551,0.031996,24.3637
Size_1200_180,1200,180,Dataset3,GRU,180,1.4315,35.47,31.22,10.68,0.206562,0.049838,33.8431
Size_1200_180,1200,180,Dataset3,LSTM,180,1.4453,33.33,77.44,12.72,0.161549,0.033001,26.3294
Size_1200_180,1200,180,Dataset3,RNN,180,1.0802,12.04,15.72,10.22,0.149931,0.036745,24.5077
Size_1200_180,1200,180,Dataset3,Transformer,180,1.5753,23.82,27.39,12.31,0.44345,0.200498,73.6918
Size_1200_180,1200,180,TimeTrack,CNN,1200,1.3465,6.64,15.2,12.47,0.004912,3.9e-05,2.6692
Size_1200_180,1200,180,TimeTrack,GRU,1200,2.8606,35.84,55.52,15.55,0.004834,3.8e-05,2.6374
Size_1200_180,1200,180,TimeTrack,LSTM,1200,2.6872,33.33,31.87,13.97,0.00478,3.8e-05,2.6074
Size_1200_180,1200,180,TimeTrack,RNN,1200,2.3578,13.12,21.42,15.82,0.005177,4.4e-05,2.8128
Size_1200_180,1200,180,TimeTrack,Transformer,1200,2.2373,26.05,23.8,15.89,0.004941,4.1e-05,2.7086
Size_19200_2880,19200,2880,Dataset2,CNN,2880,2.1942,8.2,31.42,13.7,0.015205,0.001049,16.8008
Size_19200_2880,19200,2880,Dataset2,GRU,2880,6.9934,38.73,24.12,16.81,0.022275,0.001453,25.3774
Size_19200_2880,19200,2880,Dataset2,LSTM,2880,4.4212,49.02,36.69,15.66,0.024204,0.001524,27.997
Size_19200_2880,19200,2880,Dataset2,RNN,2880,2.3001,20.94,24.62,16.69,0.016557,0.001127,18.7535
Size_19200_2880,19200,2880,Dataset2,Transformer,2880,2.4031,21.91,26.42,16.98,0.026072,0.002025,29.6156
Size_19200_2880,19200,2880,Dataset3,CNN,2880,3.4108,6.5,16.54,13.38,0.061871,0.007203,19.8925
