Dataset,Method,Horizon,Min_MAPE,Min_MAE,Min_MSE
./tt_only.csv,anneal,5,29.922161102294922,0.06402770429849625,0.010372038930654526
./tt_only.csv,evolution,1,29.8533992767334,0.0626082494854927,0.009840534999966621
./tt_only.csv,evolution,2,31.997177124023438,0.07499213516712189,0.012181801721453667
./tt_only.csv,evolution,3,25.502870559692383,0.056703776121139526,0.011312601156532764
./tt_only.csv,evolution,4,28.422134399414062,0.06425803154706955,0.011957244947552681
./tt_only.csv,evolution,5,29.197412490844727,0.06238865479826927,0.010668055154383183
./local_plus_tt.csv,random,1,26.171541213989258,0.05350466072559357,0.008681007660925388
./local_plus_tt.csv,random,2,26.233877182006836,0.05406483635306358,0.008629675954580307
./local_plus_tt.csv,random,3,27.657798767089844,0.05624877288937569,0.009082180447876453
./local_plus_tt.csv,random,4,26.454896926879883,0.05432898551225662,0.009099799208343029
./local_plus_tt.csv,random,5,27.52477264404297,0.05645217001438141,0.0093533368781209
./local_plus_tt.csv,GridSearch,1,28.46637535095215,0.061037950217723846,0.009928517043590546
./local_plus_tt.csv,GridSearch,2,28.8378963470459,0.06048450618982315,0.009615639224648476
./local_plus_tt.csv,GridSearch,3,28.830585479736328,0.059410687536001205,0.00933581218123436
./local_plus_tt.csv,GridSearch,4,28.561904907226562,0.06062701717019081,0.009676692076027393
./local_plus_tt.csv,GridSearch,5,27.370201110839844,0.057646337896585464,0.009999927133321762
./local_plus_tt.csv,tpe,1,26.991735458374023,0.05336029827594757,0.008437600918114185
./local_plus_tt.csv,tpe,2,26.703022003173828,0.05810437723994255,0.009705394506454468
./local_plus_tt.csv,tpe,3,26.064746856689453,0.05277637019753456,0.00906645879149437
./local_plus_tt.csv,tpe,4,26.251667022705078,0.054632071405649185,0.009015819057822227
./local_plus_tt.csv,tpe,5,26.450014114379883,0.052596982568502426,0.009425520896911621
./local_plus_tt.csv,anneal,1,27.45138931274414,0.05418854206800461,0.008343695662915707
./local_plus_tt.csv,anneal,2,25.693025588989258,0.052532609552145004,0.008930323645472527
./local_plus_tt.csv,anneal,3,26.5804443359375,0.05581563338637352,0.008828106336295605
./local_plus_tt.csv,anneal,4,26.11478042602539,0.05392444506287575,0.008917621336877346
./local_plus_tt.csv,anneal,5,25.340965270996094,0.053714968264102936,0.008850405924022198
./local_plus_tt.csv,evolution,1,27.009103775024414,0.05499608442187309,0.008748029358685017
./local_plus_tt.csv,evolution,2,25.935388565063477,0.05266815051436424,0.008863341063261032
./local_plus_tt.csv,evolution,3,27.886695861816406,0.0542839951813221,0.00891215167939663
./local_plus_tt.csv,evolution,4,26.040281295776367,0.05354147031903267,0.009400418028235435
./local_plus_tt.csv,evolution,5,26.19186782836914,0.05286582559347153,0.009652681648731232
./mat_only.csv,random,1,27.882057189941406,0.05654323101043701,0.00940206553786993
./mat_only.csv,random,2,27.490196228027344,0.055974822491407394,0.009525210596621037
./mat_only.csv,random,3,26.91855239868164,0.06079572066664696,0.009954191744327545
./mat_only.csv,random,4,27.407987594604492,0.05757148191332817,0.010179069824516773
./mat_only.csv,random,5,26.632431030273438,0.05719367042183876,0.009198867715895176
./mat_only.csv,GridSearch,1,32.315452575683594,0.07202615588903427,0.011814415454864502
./mat_only.csv,GridSearch,2,34.108551025390625,0.07717107236385345,0.012980751693248749
./mat_only.csv,GridSearch,3,34.522220611572266,0.07866577804088593,0.01348086353391409
./mat_only.csv,GridSearch,4,34.14881896972656,0.07661137729883194,0.01257761474698782
./mat_only.csv,GridSearch,5,34.284889221191406,0.07780848443508148,0.013196729123592377
./mat_only.csv,tpe,1,27.84737777709961,0.05503935366868973,0.008797681890428066
./mat_only.csv,tpe,2,27.493267059326172,0.05597860366106033,0.009741609916090965
./mat_only.csv,tpe,3,26.311721801757812,0.05458132177591324,0.009309646673500538
./mat_only.csv,tpe,4,25.42804527282715,0.05311248451471329,0.00966780073940754
./mat_only.csv,tpe,5,26.160181045532227,0.053025197237730026,0.010182332247495651
./mat_only.csv,anneal,1,26.85042953491211,0.05674734711647034,0.00966660026460886
./mat_only.csv,anneal,2,25.125442504882812,0.05283193662762642,0.010948359966278076
./mat_only.csv,anneal,3,27.333175659179688,0.05590309202671051,0.009543956257402897
./mat_only.csv,anneal,4,25.58806800842285,0.053466230630874634,0.008787576109170914
./mat_only.csv,anneal,5,26.687339782714844,0.0551530122756958,0.010069583542644978
./mat_only.csv,evolution,1,26.859119415283203,0.056063856929540634,0.009243191219866276
./mat_only.csv,evolution,2,26.390766143798828,0.05397885665297508,0.010044241324067116
./mat_only.csv,evolution,3,29.030872344970703,0.06326493620872498,0.010048611089587212
./mat_only.csv,evolution,4,27.66904067993164,0.057112179696559906,0.00923561118543148
./mat_only.csv,evolution,5,25.326936721801758,0.052737973630428314,0.010760053060948849
./ali_only.csv,random,1,30.78972625732422,0.057919133454561234,0.009013975039124489
./ali_only.csv,random,2,29.33466148376465,0.05479191616177559,0.008574269711971283
./ali_only.csv,random,3,32.59478759765625,0.06210057809948921,0.009390068240463734
./ali_only.csv,random,4,30.61896324157715,0.05676305294036865,0.008377758786082268
./ali_only.csv,random,5,29.064769744873047,0.060867443680763245,0.009339995682239532
./ali_only.csv,GridSearch,1,62.253238677978516,0.09866364300251007,0.014857727102935314
./ali_only.csv,GridSearch,2,53.17865753173828,0.08426717668771744,0.012323704548180103
./ali_only.csv,GridSearch,3,54.562469482421875,0.0861748680472374,0.012759390287101269
./ali_only.csv,GridSearch,4,56.690528869628906,0.0894794836640358,0.013278425671160221
./ali_only.csv,GridSearch,5,58.43770980834961,0.092397041618824,0.013741166330873966
./ali_only.csv,tpe,1,35.451148986816406,0.0607198141515255,0.009453888982534409
./ali_only.csv,tpe,2,27.886930465698242,0.05874650552868843,0.008784770034253597
./ali_only.csv,tpe,3,33.317771911621094,0.05583908408880234,0.00869402103126049
./ali_only.csv,tpe,4,32.31303787231445,0.0563453808426857,0.008430331945419312
./ali_only.csv,tpe,5,31.606178283691406,0.05687369033694267,0.008702692575752735
./ali_only.csv,anneal,1,29.059003829956055,0.055954866111278534,0.008935707621276379
./ali_only.csv,anneal,2,32.528846740722656,0.05671950429677963,0.009357179515063763
./ali_only.csv,anneal,3,25.020383834838867,0.0536932498216629,0.011222300119698048
./ali_only.csv,anneal,4,30.22443389892578,0.056631673127412796,0.009056974202394485
./ali_only.csv,anneal,5,30.2799129486084,0.05677744746208191,0.009083786979317665
./ali_only.csv,evolution,1,30.55910873413086,0.05817026272416115,0.00889929011464119
./ali_only.csv,evolution,2,26.253469467163086,0.052664171904325485,0.008278056979179382
./ali_only.csv,evolution,3,26.337373733520508,0.05457776039838791,0.009166620671749115
./ali_only.csv,evolution,4,34.0894889831543,0.0575704425573349,0.008560123853385448
./ali_only.csv,evolution,5,36.80768585205078,0.06114799529314041,0.009080578573048115
./local_plus_mat.csv,random,1,25.071931838989258,0.053725432604551315,0.008986396715044975
./local_plus_mat.csv,random,2,25.7961483001709,0.05412827804684639,0.009458803571760654
./local_plus_mat.csv,random,3,26.68600845336914,0.056482840329408646,0.008786320686340332
./local_plus_mat.csv,random,4,,,
./local_plus_mat.csv,random,5,,,
./local_plus_mat.csv,GridSearch,1,29.789779663085938,0.06354130804538727,0.009978420101106167
./local_plus_mat.csv,GridSearch,2,29.884641647338867,0.06396127492189407,0.010075947269797325
./local_plus_mat.csv,GridSearch,3,29.419023513793945,0.06289371103048325,0.009958397597074509
./local_plus_mat.csv,GridSearch,4,,,
./local_plus_mat.csv,GridSearch,5,,,
./local_plus_mat.csv,tpe,1,25.88973617553711,0.05408947542309761,0.010115126147866249
./local_plus_mat.csv,tpe,2,25.225841522216797,0.05306185781955719,0.009384009055793285
./local_plus_mat.csv,tpe,3,25.331439971923828,0.05259738862514496,0.00858892872929573
./local_plus_mat.csv,tpe,4,,,
./local_plus_mat.csv,tpe,5,,,
./local_plus_mat.csv,anneal,1,26.794954299926758,0.05373338237404823,0.009112408384680748
./local_plus_mat.csv,anneal,2,25.161376953125,0.05355371534824371,0.010497349314391613
./local_plus_mat.csv,anneal,3,25.32535171508789,0.05259454622864723,0.00931174959987402
./local_plus_mat.csv,anneal,4,,,
./local_plus_mat.csv,anneal,5,,,
./local_plus_mat.csv,evolution,1,27.161027908325195,0.055188581347465515,0.008582087233662605
./local_plus_mat.csv,evolution,2,26.278606414794922,0.05587540939450264,0.009588516317307949
./local_plus_mat.csv,evolution,3,,,
./local_plus_mat.csv,evolution,4,,,
./local_plus_mat.csv,evolution,5,,,
./local_plus_ali.csv,random,1,26.121816635131836,0.04995976760983467,0.007966247387230396
./local_plus_ali.csv,random,2,,,
./local_plus_ali.csv,random,3,,,
./local_plus_ali.csv,random,4,,,
./local_plus_ali.csv,random,5,,,
./local_plus_ali.csv,GridSearch,1,33.27018356323242,0.05620558187365532,0.008775635622441769
./local_plus_ali.csv,GridSearch,2,,,
./local_plus_ali.csv,GridSearch,3,,,
./local_plus_ali.csv,GridSearch,4,,,
./local_plus_ali.csv,GridSearch,5,,,
./local_plus_ali.csv,tpe,1,26.612838745117188,0.05259167030453682,0.008383995853364468
./local_plus_ali.csv,tpe,2,,,
./local_plus_ali.csv,tpe,3,,,
./local_plus_ali.csv,tpe,4,,,
./local_plus_ali.csv,tpe,5,,,
./local_plus_ali.csv,anneal,1,28.818830490112305,0.054536208510398865,0.00845836941152811
./local_plus_ali.csv,anneal,2,,,
./local_plus_ali.csv,anneal,3,,,
./local_plus_ali.csv,anneal,4,,,
./local_plus_ali.csv,anneal,5,,,
./local_plus_ali.csv,evolution,1,,,
./local_plus_ali.csv,evolution,2,,,
./local_plus_ali.csv,evolution,3,,,
./local_plus_ali.csv,evolution,4,,,
./local_plus_ali.csv,evolution,5,,,
