Dataset,Method,Horizon,Min_MAPE,Min_MAE,Min_MSE
./local_only.csv,random,1,25.032838821411133,0.05292712152004242,0.010710233822464943
./local_only.csv,random,2,27.593185424804688,0.055277351289987564,0.00949072279036045
./local_only.csv,random,3,25.08545684814453,0.05275372043251991,0.008959628641605377
./local_only.csv,random,4,25.047863006591797,0.051417674869298935,0.008748666383326054
./local_only.csv,random,5,25.063291549682617,0.052604857832193375,0.009367909282445908
./local_only.csv,GridSearch,1,25.290903091430664,0.052186645567417145,0.008741652593016624
./local_only.csv,GridSearch,2,25.16457748413086,0.05211082473397255,0.008978012949228287
./local_only.csv,GridSearch,3,25.317302703857422,0.05181548744440079,0.009318702854216099
./local_only.csv,GridSearch,4,25.336977005004883,0.05197924003005028,0.00907555315643549
./local_only.csv,GridSearch,5,25.278945922851562,0.05179005116224289,0.008907931856811047
./local_only.csv,tpe,1,25.01861000061035,0.05253882333636284,0.01049775630235672
./local_only.csv,tpe,2,25.015155792236328,0.05261255428195,0.010492042638361454
./local_only.csv,tpe,3,25.047744750976562,0.05279942601919174,0.009541776962578297
./local_only.csv,tpe,4,25.02676773071289,0.05268769711256027,0.008974842727184296
./local_only.csv,tpe,5,25.007627487182617,0.05282007157802582,0.009601044468581676
./local_only.csv,anneal,1,25.03311538696289,0.05213482305407524,0.009917248971760273
./local_only.csv,anneal,2,24.930273056030273,0.0522724874317646,0.008824345655739307
./local_only.csv,anneal,3,25.245702743530273,0.05275116115808487,0.010143297724425793
./local_only.csv,anneal,4,25.02185821533203,0.0526903010904789,0.010017004795372486
./local_only.csv,anneal,5,25.286962509155273,0.05263654142618179,0.010030262172222137
./local_only.csv,evolution,1,25.106613159179688,0.05212685093283653,0.010071912780404091
./local_only.csv,evolution,2,25.065031051635742,0.05263790488243103,0.01008770614862442
./local_only.csv,evolution,3,25.02387237548828,0.05286821350455284,0.009970718994736671
./local_only.csv,evolution,4,25.021377563476562,0.05248585715889931,0.009371739812195301
./local_only.csv,evolution,5,25.290756225585938,0.05202683061361313,0.009403150528669357
./tt_only.csv,random,1,28.889638900756836,0.061043038964271545,0.010063042864203453
./tt_only.csv,random,2,30.424358367919922,0.06362814456224442,0.010489892214536667
./tt_only.csv,random,3,26.000932693481445,0.05424223095178604,0.009959558956325054
./tt_only.csv,random,4,30.319189071655273,0.06275036185979843,0.010037274099886417
./tt_only.csv,random,5,31.881746292114258,0.0740189328789711,0.01304292306303978
./tt_only.csv,GridSearch,1,33.67271041870117,0.07564590871334076,0.012595192529261112
./tt_only.csv,GridSearch,2,35.860084533691406,0.08143080025911331,0.013708475977182388
./tt_only.csv,GridSearch,3,37.398990631103516,0.08563768118619919,0.014798201620578766
./tt_only.csv,GridSearch,4,35.479915618896484,0.08063697814941406,0.013378343544900417
./tt_only.csv,GridSearch,5,36.331993103027344,0.08302592486143112,0.014280658215284348
./tt_only.csv,tpe,1,25.463695526123047,0.05439985916018486,0.010519380681216717
./tt_only.csv,tpe,2,31.65276336669922,0.06962646543979645,0.011818235740065575
./tt_only.csv,tpe,3,30.00897216796875,0.06833181530237198,0.012755775824189186
./tt_only.csv,tpe,4,27.310731887817383,0.05589381232857704,0.009810366667807102
./tt_only.csv,tpe,5,32.41520309448242,0.06692953407764435,0.010880815796554089
./tt_only.csv,anneal,1,29.403467178344727,0.06603444367647171,0.012829529121518135
./tt_only.csv,anneal,2,29.3294734954834,0.06471830606460571,0.011292990297079086
./tt_only.csv,anneal,3,28.570266723632812,0.05436531454324722,0.009245363064110279
./tt_only.csv,anneal,4,28.069355010986328,0.06319328397512436,0.011892054229974747
