Experiment,TimeTrack_Size,Dataset2_3_Size,Dataset,Model,Samples,Train Time (s),Memory Used (MB),Max CPU (%),Avg CPU (%),MAE,MSE,MAPE
Size_1200_180,1200,180,Dataset2,CNN,180,0.5232,5.97,65.45,18.98,0.024336,0.000879,27.5146
Size_1200_180,1200,180,Dataset2,GRU,180,1.3132,31.79,32.43,10.45,0.027836,0.001007,32.4252
Size_1200_180,1200,180,Dataset2,LSTM,180,1.6333,66.36,15.85,9.03,0.02873,0.001047,33.8696
Size_1200_180,1200,180,Dataset2,RNN,180,0.8559,11.35,58.81,14.77,0.029129,0.001603,32.8859
Size_1200_180,1200,180,Dataset2,Transformer,180,1.5188,23.65,17.21,11.6,0.0208,0.000982,18.7823
Size_1200_180,1200,180,Dataset3,CNN,180,0.5585,7.24,28.98,10.56,0.151921,0.032435,24.8829
Size_1200_180,1200,180,Dataset3,GRU,180,1.3918,35.47,33.81,10.86,0.214624,0.053287,35.1992
Size_1200_180,1200,180,Dataset3,LSTM,180,1.4314,33.33,57.31,12.35,0.155212,0.030872,25.268
Size_1200_180,1200,180,Dataset3,RNN,180,1.0481,13.04,15.71,10.13,0.157412,0.04042,25.7557
Size_1200_180,1200,180,Dataset3,Transformer,180,1.5227,23.82,29.49,12.5,0.44346,0.200507,73.6935
Size_1200_180,1200,180,TimeTrack,CNN,1200,1.3216,6.64,15.2,11.43,0.004891,3.9e-05,2.6568
Size_1200_180,1200,180,TimeTrack,GRU,1200,2.81,35.84,61.97,15.9,0.004849,3.9e-05,2.6466
Size_1200_180,1200,180,TimeTrack,LSTM,1200,2.6756,33.33,33.67,14.07,0.004781,3.8e-05,2.6075
Size_1200_180,1200,180,TimeTrack,RNN,1200,2.2639,13.12,21.28,15.75,0.005183,4.4e-05,2.8161
Size_1200_180,1200,180,TimeTrack,Transformer,1200,2.2014,26.65,23.85,15.95,0.00494,4.1e-05,2.7079
Size_19200_2880,19200,2880,Dataset2,CNN,2880,2.201,6.2,34.28,13.88,0.015094,0.001045,16.5834
Size_19200_2880,19200,2880,Dataset2,GRU,2880,7.4008,31.73,23.98,16.93,0.021925,0.001416,24.9656
Size_19200_2880,19200,2880,Dataset2,LSTM,2880,4.1586,19.02,39.22,15.6,0.024314,0.001522,28.1544
Size_19200_2880,19200,2880,Dataset2,RNN,2880,2.286,7.98,24.46,16.66,0.016712,0.001133,19.0058
Size_19200_2880,19200,2880,Dataset2,Transformer,2880,2.3824,21.91,26.61,17.03,0.026073,0.002025,29.6166
Size_19200_2880,19200,2880,Dataset3,CNN,2880,3.3339,6.5,16.37,13.38,0.06194,0.007243,19.8332
