Experiment,TimeTrack_Size,Dataset2_3_Size,Dataset,Model,Samples,Train Time (s),Memory Used (MB),Max CPU (%),Avg CPU (%)
Size_19200_2880,19200,2880,Dataset3,RNN,2880,3.1428,18.8,23.75,17.59
Size_19200_2880,19200,2880,Dataset3,Transformer,2880,2.6823,23.65,26.73,17.53
Size_19200_2880,19200,2880,TimeTrack,CNN,19200,6.2543,9.2,17.51,14.2
Size_19200_2880,19200,2880,TimeTrack,GRU,19200,16.4109,43.76,37.9,18.42
Size_19200_2880,19200,2880,TimeTrack,LSTM,19200,16.8427,58.34,38.31,17.78
Size_19200_2880,19200,2880,TimeTrack,RNN,19200,9.5695,28.59,38.79,20.09
Size_19200_2880,19200,2880,TimeTrack,Transformer,19200,10.266,26.5,26.89,20.73
Size_2400_360,2400,360,Dataset2,CNN,360,1.1592,5.79,31.3,11.79
Size_2400_360,2400,360,Dataset2,GRU,360,1.9728,30.14,18.51,11.77
Size_2400_360,2400,360,Dataset2,LSTM,360,1.9319,35.31,17.19,11.28
Size_2400_360,2400,360,Dataset2,RNN,360,1.2569,10.52,36.53,12.51
Size_2400_360,2400,360,Dataset2,Transformer,360,1.7603,21.51,20.22,13.34
Size_2400_360,2400,360,Dataset3,CNN,360,1.226,6.52,13.24,10.35
Size_2400_360,2400,360,Dataset3,GRU,360,2.1321,31.23,59.0,13.89
Size_2400_360,2400,360,Dataset3,LSTM,360,1.5205,33.97,17.1,10.27
Size_2400_360,2400,360,Dataset3,RNN,360,1.4023,13.29,69.85,15.9
Size_2400_360,2400,360,Dataset3,Transformer,360,1.8264,22.26,50.44,15.16
Size_2400_360,2400,360,TimeTrack,CNN,2400,2.0262,7.77,28.61,12.92
Size_2400_360,2400,360,TimeTrack,GRU,2400,3.2105,38.74,23.2,14.87
Size_2400_360,2400,360,TimeTrack,LSTM,2400,3.701,36.39,22.98,14.89
Size_2400_360,2400,360,TimeTrack,RNN,2400,3.861,16.08,38.21,17.49
Size_2400_360,2400,360,TimeTrack,Transformer,2400,3.3318,24.18,26.82,18.04
Size_300_45,300,45,Dataset2,CNN,45,0.5261,6.82,47.8,9.78
Size_300_45,300,45,Dataset2,GRU,45,1.3256,32.11,15.9,8.69
Size_300_45,300,45,Dataset2,LSTM,45,1.3372,31.61,14.57,8.67
Size_300_45,300,45,Dataset2,RNN,45,0.7256,13.2,37.29,11.31
Size_300_45,300,45,Dataset2,Transformer,45,1.3073,21.84,28.83,10.62
Size_300_45,300,45,Dataset3,CNN,45,0.717,5.94,27.31,10.33
Size_300_45,300,45,Dataset3,GRU,45,1.5139,31.45,44.4,11.3
Size_300_45,300,45,Dataset3,LSTM,45,2.2684,30.5,32.74,10.29
Size_300_45,300,45,Dataset3,RNN,45,0.7415,8.46,32.89,10.78
Size_300_45,300,45,Dataset3,Transformer,45,1.3355,20.37,30.8,10.51
Size_300_45,300,45,TimeTrack,CNN,300,0.7148,6.91,13.03,8.99
Size_300_45,300,45,TimeTrack,GRU,300,1.8703,33.52,18.52,11.01
Size_300_45,300,45,TimeTrack,LSTM,300,2.6324,30.23,30.01,10.86
Size_300_45,300,45,TimeTrack,RNN,300,1.1117,10.16,53.89,14.09
Size_300_45,300,45,TimeTrack,Transformer,300,1.9431,25.53,19.18,12.91
Size_38400_5760,38400,5760,Dataset2,CNN,5760,5.7446,8.8,33.01,14.09
Size_38400_5760,38400,5760,Dataset2,GRU,5760,6.3483,40.5,49.69,17.55
Size_38400_5760,38400,5760,Dataset2,LSTM,5760,7.0578,52.8,22.29,17.0
Size_38400_5760,38400,5760,Dataset2,RNN,5760,4.5332,22.15,21.85,16.04
Size_38400_5760,38400,5760,Dataset2,Transformer,5760,3.2142,21.39,27.66,18.66
Size_38400_5760,38400,5760,Dataset3,CNN,5760,3.3528,7.22,35.8,14.26
Size_38400_5760,38400,5760,Dataset3,GRU,5760,8.0632,38.73,23.46,17.56
Size_38400_5760,38400,5760,Dataset3,LSTM,5760,9.99,55.36,22.96,17.26
Size_38400_5760,38400,5760,Dataset3,RNN,5760,4.0402,25.46,21.83,16.15
Size_38400_5760,38400,5760,Dataset3,Transformer,5760,2.8999,20.99,57.68,19.93
Size_38400_5760,38400,5760,TimeTrack,CNN,38400,22.2375,9.5,31.11,14.73
Size_38400_5760,38400,5760,TimeTrack,GRU,38400,48.834,44.32,44.17,18.83
Size_38400_5760,38400,5760,TimeTrack,LSTM,38400,48.6732,63.99,37.36,18.18
Size_38400_5760,38400,5760,TimeTrack,RNN,38400,20.1629,31.98,24.7,20.6
Size_38400_5760,38400,5760,TimeTrack,Transformer,38400,18.9166,27.34,27.06,21.65
Size_4800_720,4800,720,Dataset2,CNN,720,1.1187,7.04,31.93,12.12
Size_4800_720,4800,720,Dataset2,GRU,720,1.7353,31.81,38.25,12.22
Size_4800_720,4800,720,Dataset2,LSTM,720,2.0711,33.64,20.96,11.04
Size_4800_720,4800,720,Dataset2,RNN,720,1.5522,18.45,33.87,13.72
Size_4800_720,4800,720,Dataset2,Transformer,720,1.2789,20.84,22.11,12.4
Size_4800_720,4800,720,Dataset3,CNN,720,1.7151,6.71,14.61,11.6
Size_4800_720,4800,720,Dataset3,GRU,720,3.5966,32.9,47.94,15.35
Size_4800_720,4800,720,Dataset3,LSTM,720,3.4858,30.51,36.46,14.43
Size_4800_720,4800,720,Dataset3,RNN,720,1.7959,17.74,35.04,15.67
Size_4800_720,4800,720,Dataset3,Transformer,720,2.5555,23.06,36.32,16.4
Size_4800_720,4800,720,TimeTrack,CNN,4800,5.1625,7.46,17.34,13.95
Size_4800_720,4800,720,TimeTrack,GRU,4800,11.1162,42.0,24.21,17.55
Size_4800_720,4800,720,TimeTrack,LSTM,4800,12.9126,43.63,51.04,17.59
Size_4800_720,4800,720,TimeTrack,RNN,4800,5.1129,25.14,57.6,19.25
Size_4800_720,4800,720,TimeTrack,Transformer,4800,4.336,24.56,27.16,19.27
Size_600_90,600,90,Dataset2,CNN,90,0.5806,6.9,25.12,10.21
Size_600_90,600,90,Dataset2,GRU,90,1.3808,36.5,54.64,11.95
Size_600_90,600,90,Dataset2,LSTM,90,1.362,30.04,36.78,10.85
Size_600_90,600,90,Dataset2,RNN,90,0.9812,11.68,14.14,9.59
Size_600_90,600,90,Dataset2,Transformer,90,1.4889,23.54,30.78,11.62
Size_600_90,600,90,Dataset3,CNN,90,0.5059,6.3,26.85,10.36
Size_600_90,600,90,Dataset3,GRU,90,1.5017,34.27,34.13,10.54
Size_600_90,600,90,Dataset3,LSTM,90,1.3651,33.06,15.22,8.98
Size_600_90,600,90,Dataset3,RNN,90,0.7317,10.58,26.54,9.94
Size_600_90,600,90,Dataset3,Transformer,90,1.4117,23.24,15.16,10.38
Size_600_90,600,90,TimeTrack,CNN,600,1.1387,6.78,41.41,12.61
Size_600_90,600,90,TimeTrack,GRU,600,2.1325,34.0,56.17,13.69
Size_600_90,600,90,TimeTrack,LSTM,600,2.0911,32.52,38.43,12.87
Size_600_90,600,90,TimeTrack,RNN,600,1.8269,13.44,20.0,14.06
Size_600_90,600,90,TimeTrack,Transformer,600,2.4088,25.06,36.35,15.84
Size_9600_1440,9600,1440,Dataset2,CNN,1440,1.6913,7.7,60.27,14.03
