Run,Experiment,TimeTrack_Size,Dataset2_3_Size,Dataset,Model,Samples,Train Time (s),Memory Used (MB),Max CPU (%),Avg CPU (%),MAE,MSE,MAPE
2,Size_4800_720,4800,720,TimeTrack,CNN,4800,6.0198,5.49,17.43,14.1,0.015313585813648176,0.0009482184331247844,6.331976042696646
2,Size_4800_720,4800,720,TimeTrack,Transformer,4800,3.4047,14.89,25.76,18.47,0.025636366962277297,0.005115313743307409,7.999212256635148
2,Size_4800_720,4800,720,Dataset2,LSTM,720,1.5829,0.05,24.93,10.5,0.020104666640250873,0.0006362450391245013,24.46294760281755
2,Size_4800_720,4800,720,Dataset2,GRU,720,1.6096,19.16,21.59,10.3,0.01852352365317663,0.0006522571220096465,21.302847745958733
2,Size_4800_720,4800,720,Dataset2,RNN,720,1.0099,8.7,20.74,11.89,0.01890138675638486,0.00045760508358095057,24.696855131400266
2,Size_4800_720,4800,720,Dataset2,CNN,720,0.8768,3.68,14.12,10.56,0.018415126959942334,0.0004612108710628504,23.547934639694766
2,Size_4800_720,4800,720,Dataset2,Transformer,720,1.3094,20.02,20.77,12.2,0.02098316107640039,0.000626265335640638,26.382542698265382
2,Size_4800_720,4800,720,Dataset3,LSTM,720,2.1856,28.73,20.77,12.66,0.08424882719877888,0.010183208991150473,24.721575093729204
2,Size_4800_720,4800,720,Dataset3,GRU,720,2.7635,31.77,492.68,31.06,0.06414685949977876,0.006087306565227755,17.36923543076127
2,Size_4800_720,4800,720,Dataset3,RNN,720,2.3749,16.44,20.77,15.26,0.06115710349389917,0.00567543376566206,15.89300652570782
2,Size_4800_720,4800,720,Dataset3,CNN,720,1.7485,4.78,14.95,11.67,0.06457789785685832,0.006412126541415274,16.144391055853394
2,Size_4800_720,4800,720,Dataset3,Transformer,720,2.5505,25.32,21.6,16.06,0.13492968889871731,0.024601104022899934,36.645844660068185
2,Size_9600_1440,9600,1440,TimeTrack,LSTM,9600,15.1329,34.75,25.76,17.58,0.008731938341451887,0.00032784207321320894,3.9453178164320097
2,Size_9600_1440,9600,1440,TimeTrack,GRU,9600,9.3621,43.61,22.42,17.24,0.00895094895650016,0.0003270198170436422,4.088626600110734
2,Size_9600_1440,9600,1440,TimeTrack,RNN,9600,7.2604,8.07,24.81,19.64,0.00907212939149989,0.00032864508744725573,4.146896946114062
2,Size_9600_1440,9600,1440,TimeTrack,CNN,9600,4.5008,9.37,17.43,14.24,0.009156244113066028,0.0003289433028053801,4.233106085030731
2,Size_9600_1440,9600,1440,TimeTrack,Transformer,9600,3.4657,25.53,25.75,19.45,0.01830049478479245,0.002911470256200046,6.514744405964722
2,Size_9600_1440,9600,1440,Dataset2,LSTM,1440,2.7911,35.65,24.05,13.87,0.021440852934638033,0.000988925989033061,24.126438544697677
2,Size_9600_1440,9600,1440,Dataset2,GRU,1440,2.1629,36.55,19.93,12.92,0.023829558891294993,0.0009834444440317734,28.742027729662144
2,Size_9600_1440,9600,1440,Dataset2,RNN,1440,1.0464,11.23,20.77,12.73,0.0196171492891511,0.0009848204834090205,24.22224323335386
2,Size_9600_1440,9600,1440,Dataset2,CNN,1440,2.5874,7.94,15.74,12.98,0.015667739603849002,0.0006128859687399846,19.543654162424
2,Size_9600_1440,9600,1440,Dataset2,Transformer,1440,1.4147,23.69,24.93,14.25,0.02040014970425625,0.0009793660580074753,22.400756729077877
2,Size_9600_1440,9600,1440,Dataset3,LSTM,1440,6.3609,36.05,22.42,15.96,0.07241321164625003,0.008720284396073886,28.316519630833636
2,Size_9600_1440,9600,1440,Dataset3,GRU,1440,3.4999,43.19,22.41,15.15,0.06913759894893515,0.00833299104625031,25.932179750989455
