Run,Experiment,TimeTrack_Size,Dataset2_3_Size,Dataset,Model,Samples,Train Time (s),Memory Used (MB),Max CPU (%),Avg CPU (%),MAE,MSE,MAPE
1,Size_2400_360,2400,360,Dataset2,LSTM,360,1.5954,38.23,16.55,10.23,0.024038224772042004,0.0006941129103509202,30.462355147941654
1,Size_2400_360,2400,360,Dataset2,GRU,360,2.7614,16.04,19.91,11.78,0.0255805948998221,0.000753199176570222,32.998174826370146
1,Size_2400_360,2400,360,Dataset2,RNN,360,1.3861,34.81,16.61,11.04,0.018025819723806513,0.0004975995867902511,22.716156524819723
1,Size_2400_360,2400,360,Dataset2,CNN,360,1.4503,5.6,13.28,10.44,0.018654985918177325,0.0005175999608014243,23.2858998072722
1,Size_2400_360,2400,360,Dataset2,Transformer,360,2.26,18.05,18.11,12.64,0.02775445461344323,0.0008413149536487783,37.11645793422111
1,Size_2400_360,2400,360,Dataset3,LSTM,360,1.3716,27.68,15.78,9.85,0.10975322847525136,0.016818473638229723,20.83951235529913
1,Size_2400_360,2400,360,Dataset3,GRU,360,2.4588,29.21,17.45,12.38,0.07162003225411091,0.007430162134597288,14.556673234494674
1,Size_2400_360,2400,360,Dataset3,RNN,360,1.5414,7.95,16.62,12.04,0.07134615882953416,0.0073675984495448245,13.896802738473252
1,Size_2400_360,2400,360,Dataset3,CNN,360,1.3734,7.96,12.46,10.52,0.0795334548351263,0.009212881858886619,15.70398122748877
1,Size_2400_360,2400,360,Dataset3,Transformer,360,1.9124,23.8,19.11,13.35,0.24436936143794427,0.07298698945461148,44.01509766048836
1,Size_4800_720,4800,720,TimeTrack,LSTM,4800,16.202,41.01,23.25,17.13,0.017348112611440848,0.0009182864509166939,7.738861260569639
1,Size_4800_720,4800,720,TimeTrack,GRU,4800,9.8843,38.91,26.51,17.39,0.01667030670194688,0.0009764570550437792,7.0015420242376
1,Size_4800_720,4800,720,TimeTrack,RNN,4800,3.1305,16.83,24.1,17.36,0.01841208224419569,0.0011378545371256762,7.64958096398037
1,Size_4800_720,4800,720,TimeTrack,CNN,4800,3.413,7.08,18.26,13.79,0.014968729892675413,0.0010222090918942399,6.004756877723031
1,Size_4800_720,4800,720,TimeTrack,Transformer,4800,4.8711,27.64,25.75,19.94,0.025911849559275082,0.005098312893785512,8.167120087439843
1,Size_4800_720,4800,720,Dataset2,LSTM,720,1.5628,9.02,22.39,10.43,0.020501837730857106,0.0006201974374721878,25.429095033242383
1,Size_4800_720,4800,720,Dataset2,GRU,720,1.5418,22.95,19.86,10.68,0.017683139231844027,0.000631781035228886,19.9208492371993
1,Size_4800_720,4800,720,Dataset2,RNN,720,1.362,13.34,19.11,13.25,0.015445094895340296,0.0004713691062753743,18.04752084607213
1,Size_4800_720,4800,720,Dataset2,CNN,720,1.3615,7.35,14.97,11.25,0.016295529530584725,0.00043970057189953365,20.031394571271875
1,Size_4800_720,4800,720,Dataset2,Transformer,720,1.2676,26.78,24.03,12.53,0.020803983194362368,0.0006235556097955912,26.046674174407325
1,Size_4800_720,4800,720,Dataset3,LSTM,720,3.4059,32.05,19.91,13.8,0.0675685006549328,0.006735626113926641,18.51194610875284
