dataset,method,duration,min_mape,min_mae,min_mse
local_only,tpe,5,23.598176956176758,0.011235416866838932,0.00020897865761071444
local_only,tpe,10,30.429391860961914,0.013748925179243088,0.000298361643217504
local_only,tpe,20,22.240341186523438,0.011225799098610878,0.0002101027057506144
local_only,tpe,50,23.078397750854492,0.011375341564416885,0.00021231854043435305
local_only,tpe,80,22.249021530151367,0.011211497709155083,0.00021427958563435823
local_only,tpe,100,,,
local_only,random,5,24.6474666595459,0.01147758960723877,0.00022447353694587946
local_only,random,10,22.33855438232422,0.011132403276860714,0.00020754661818500608
local_only,random,20,22.457197189331055,0.011747159995138645,0.00022648723097518086
local_only,random,50,22.480436325073242,0.011424660682678223,0.00021312817989382893
local_only,random,80,22.24071502685547,0.01111609023064375,0.00020470557501539588
local_only,random,100,22.72386932373047,0.011149002239108086,0.00020792153372894973
local_only,GridSearch,5,69.24662780761719,0.03145832195878029,0.0011910374742001295
local_only,GridSearch,10,50.17485809326172,0.022313077002763748,0.000675997871439904
local_only,GridSearch,20,28.956235885620117,0.01333269476890564,0.00028993983869440854
local_only,GridSearch,50,25.297557830810547,0.012511717155575752,0.0002570784417912364
local_only,GridSearch,80,26.10776138305664,0.012964650057256222,0.0002692884299904108
local_only,GridSearch,100,,,
local_only,evolution,5,25.697683334350586,0.01171842496842146,0.00022187901777215302
local_only,evolution,10,22.390153884887695,0.011236068792641163,0.0002160264120902866
local_only,evolution,20,23.450342178344727,0.011719015426933765,0.0002227164077339694
local_only,evolution,50,23.704004287719727,0.0118027338758111,0.00023385092208627611
local_only,evolution,80,22.24994468688965,0.011444764211773872,0.0002247017837362364
local_only,evolution,100,,,
local_only,anneal,5,24.782930374145508,0.01342769619077444,0.00029609762714244425
local_only,anneal,10,23.309080123901367,0.011684130877256393,0.00023529183818027377
local_only,anneal,20,22.80936050415039,0.011573663912713528,0.00022214450291357934
local_only,anneal,50,22.393651962280273,0.011386438272893429,0.00021221696806605905
local_only,anneal,80,22.226722717285156,0.011154443956911564,0.00020747307280544192
local_only,anneal,100,,,
tt_only,tpe,5,23.781503677368164,0.011390297673642635,0.00021535236737690866
tt_only,tpe,10,23.719831466674805,0.01214578002691269,0.00024011645291466266
tt_only,tpe,20,22.150529861450195,0.011182717978954315,0.0002110822533722967
