timestamp,trial_job_id,parameter_id,sequence,default_metric,mse,mae,mape
1779383575246,mxHkr,0,0,83.89628601074219,0.023690486326813698,0.13888482749462128,83.89628601074219
1779383633128,e80BH,1,0,215.65341186523438,0.13728122413158417,0.362531840801239,215.65341186523438
1779383646833,OQAYb,2,0,76.67866516113281,0.038957856595516205,0.1663329154253006,76.67866516113281
1779383701150,RgMix,3,0,43.54985809326172,0.010259006172418594,0.07077421993017197,43.54985809326172
1779383711897,ucQTw,4,0,116.39875793457031,0.06732677668333054,0.23760028183460236,116.39875793457031
1779383732586,SxGHK,5,0,73.56854248046875,0.02138516493141651,0.1231304332613945,73.56854248046875
1779383754196,yzCwK,6,0,151.31507873535156,0.06747332215309143,0.25280484557151794,151.31507873535156
1779383769024,VRaIF,7,0,50.5761604309082,0.012112748809158802,0.08292321860790253,50.5761604309082
1779383826119,ToIX3,8,0,186.7980499267578,0.10262423753738403,0.31314072012901306,186.7980499267578
1779383839365,obbEU,9,0,109.9310531616211,0.03706756606698036,0.18254199624061584,109.9310531616211
1779383913794,VfgAE,10,0,74.2705078125,0.035772476345300674,0.16113866865634918,74.2705078125
1779383935012,b5Dx6,11,0,77.5556869506836,0.020590681582689285,0.12685638666152954,77.5556869506836
1779383956230,AhnJw,12,0,150.48968505859375,0.06675570458173752,0.25140300393104553,150.48968505859375
1779383968371,NpiRv,13,0,65.2820816040039,0.0315348319709301,0.14546580612659454,65.2820816040039
1779383988586,Jyzud,14,0,71.37010955810547,0.034525442868471146,0.15608051419258118,71.37010955810547
1779384002433,IcyKp,15,0,148.49147033691406,0.06503457576036453,0.24801664054393768,148.49147033691406
1779384013128,zQolC,16,0,40.170894622802734,0.011512057855725288,0.06990177929401398,40.170894622802734
1779384037216,MPgNi,17,0,30.78972625732422,0.009013975039124489,0.057919133454561234,30.78972625732422
1779384109123,Kr7xV,18,0,62.62995910644531,0.015766477212309837,0.10395413637161255,62.62995910644531
1779384343618,ewY0s,19,0,38.43361282348633,0.01783578284084797,0.09072418510913849,38.43361282348633
1779384374201,Aoccr,20,0,84.01138305664062,0.024599125608801842,0.13960805535316467,84.01138305664062
1779384449322,PKiw3,21,0,92.63838958740234,0.03494193032383919,0.16009610891342163,92.63838958740234
1779384460903,hqXUm,22,0,94.1623764038086,0.04944341257214546,0.19734102487564087,94.1623764038086
1779384508835,g2VGS,23,0,40.78615951538086,0.010511350817978382,0.06766127794981003,40.78615951538086
