timestamp,trial_job_id,parameter_id,sequence,default_metric,mse,mae,mape
1779392116834,DXTWf,0,0,30.627822875976562,0.010676644742488861,0.06649462878704071,30.627822875976562
1779392128254,VmmKy,1,0,33.4940299987793,0.012622034177184105,0.07531613111495972,33.4940299987793
1779392142528,bziQN,2,0,33.93938064575195,0.014025547541677952,0.07811736315488815,33.93938064575195
1779392157139,SA7zx,3,0,33.25753402709961,0.012809212319552898,0.07525418698787689,33.25753402709961
1779392169481,VRhnO,4,0,33.83674240112305,0.013494125567376614,0.07719418406486511,33.83674240112305
1779392181181,ehhni,5,0,34.65793991088867,0.013563238084316254,0.07897016406059265,34.65793991088867
1779392194229,LxUxh,6,0,34.179508209228516,0.013353561982512474,0.07783915102481842,34.179508209228516
1779392208308,wYHCy,7,0,31.825233459472656,0.01266123540699482,0.07186009734869003,31.825233459472656
1779392227838,GYgDs,8,0,33.173072814941406,0.013866418972611427,0.07624704390764236,33.173072814941406
1779392245525,JhAy5,9,0,32.310096740722656,0.011888104490935802,0.07209043204784393,32.310096740722656
1779392257360,fzokY,10,0,31.410245895385742,0.012260614894330502,0.07061390578746796,31.410245895385742
1779392269001,tPWZw,11,0,31.194477081298828,0.010614616796374321,0.06749863177537918,31.194477081298828
1779392282742,ay18b,12,0,30.274606704711914,0.010346051305532455,0.06480328738689423,30.274606704711914
1779392299799,GhTQv,13,0,29.34026527404785,0.009874052368104458,0.06165006011724472,29.34026527404785
1779392314003,sy7JF,14,0,30.066137313842773,0.010895532555878162,0.06517409533262253,30.066137313842773
1779392341072,c5ZFE,15,0,31.352319717407227,0.010775839909911156,0.06803584843873978,31.352319717407227
1779392353679,ZLcrW,16,0,30.41419219970703,0.010629192925989628,0.06552040576934814,30.41419219970703
1779392368457,g0dCn,17,0,31.502817153930664,0.010325383394956589,0.06737367063760757,31.502817153930664
1779392384631,ndLgB,18,0,29.764066696166992,0.010002801194787025,0.06307139992713928,29.764066696166992
1779392400649,f4HMU,19,0,30.450927734375,0.010298294015228748,0.06513820588588715,30.450927734375
1779392431423,cWvit,20,0,28.83077621459961,0.00933581218123436,0.059410687536001205,28.83077621459961
1779392449612,KKIGJ,21,0,30.39136505126953,0.01049194298684597,0.06566719710826874,30.39136505126953
1779392470742,UcoRu,22,0,32.224586486816406,0.012289079837501049,0.07243022322654724,32.224586486816406
1779392491970,ecXdU,23,0,28.830585479736328,0.009439148008823395,0.059426307678222656,28.830585479736328
